species,sample_1,sample_2
Alistipes_onderdonkii_55464,SRR18585194,SRR18585196
Alistipes_onderdonkii_55464,SRR18585195,SRR18585196
Alistipes_onderdonkii_55464,SRR18585203,SRR18585204
Alistipes_onderdonkii_55464,SRR18585203,SRR18585205
Alistipes_onderdonkii_55464,SRR18585203,SRR18585207
Alistipes_onderdonkii_55464,SRR18585203,SRR18585209
Alistipes_onderdonkii_55464,SRR18585203,SRR18585210
Alistipes_onderdonkii_55464,SRR18585204,SRR18585205
Alistipes_onderdonkii_55464,SRR18585204,SRR18585207
Alistipes_onderdonkii_55464,SRR18585204,SRR18585209
Alistipes_onderdonkii_55464,SRR18585204,SRR18585210
Alistipes_onderdonkii_55464,SRR18585205,SRR18585207
Alistipes_onderdonkii_55464,SRR18585205,SRR18585209
Alistipes_onderdonkii_55464,SRR18585205,SRR18585210
Alistipes_onderdonkii_55464,SRR18585207,SRR18585209
Alistipes_onderdonkii_55464,SRR18585207,SRR18585210
Alistipes_onderdonkii_55464,SRR18585209,SRR18585210
Alistipes_putredinis_61533,SRR18584982,SRR18584972
Alistipes_putredinis_61533,SRR18584982,SRR18584974
Alistipes_putredinis_61533,SRR18584982,SRR18584976
Alistipes_putredinis_61533,SRR18584982,SRR18585177
Alistipes_putredinis_61533,SRR18584982,SRR18585182
Alistipes_putredinis_61533,SRR18584982,SRR18585183
Alistipes_putredinis_61533,SRR18584982,SRR18585272
Alistipes_putredinis_61533,SRR18584982,SRR18585273
Alistipes_putredinis_61533,SRR18584972,SRR18584974
Alistipes_putredinis_61533,SRR18584972,SRR18584976
Alistipes_putredinis_61533,SRR18584972,SRR18585177
Alistipes_putredinis_61533,SRR18584972,SRR18585182
Alistipes_putredinis_61533,SRR18584972,SRR18585183
Alistipes_putredinis_61533,SRR18584972,SRR18585272
Alistipes_putredinis_61533,SRR18584972,SRR18585273
Alistipes_putredinis_61533,SRR18584973,SRR18585027
Alistipes_putredinis_61533,SRR18584973,SRR18585041
Alistipes_putredinis_61533,SRR18584973,SRR18585053
Alistipes_putredinis_61533,SRR18584973,SRR18585086
Alistipes_putredinis_61533,SRR18584973,SRR18585087
Alistipes_putredinis_61533,SRR18584973,SRR18585090
Alistipes_putredinis_61533,SRR18584973,SRR18585099
Alistipes_putredinis_61533,SRR18584973,SRR18585119
Alistipes_putredinis_61533,SRR18584973,SRR18585130
Alistipes_putredinis_61533,SRR18584973,SRR18585141
Alistipes_putredinis_61533,SRR18584973,SRR18585176
Alistipes_putredinis_61533,SRR18584973,SRR18585187
Alistipes_putredinis_61533,SRR18584973,SRR18585198
Alistipes_putredinis_61533,SRR18584973,SRR18585206
Alistipes_putredinis_61533,SRR18584973,SRR18585264
Alistipes_putredinis_61533,SRR18584974,SRR18584976
Alistipes_putredinis_61533,SRR18584974,SRR18585177
Alistipes_putredinis_61533,SRR18584974,SRR18585182
Alistipes_putredinis_61533,SRR18584974,SRR18585183
Alistipes_putredinis_61533,SRR18584974,SRR18585272
Alistipes_putredinis_61533,SRR18584974,SRR18585273
Alistipes_putredinis_61533,SRR18584976,SRR18585177
Alistipes_putredinis_61533,SRR18584976,SRR18585182
Alistipes_putredinis_61533,SRR18584976,SRR18585183
Alistipes_putredinis_61533,SRR18584976,SRR18585272
Alistipes_putredinis_61533,SRR18584976,SRR18585273
Alistipes_putredinis_61533,SRR18584997,SRR18584998
Alistipes_putredinis_61533,SRR18584997,SRR18584999
Alistipes_putredinis_61533,SRR18584997,SRR18585000
Alistipes_putredinis_61533,SRR18584997,SRR18585001
Alistipes_putredinis_61533,SRR18584997,SRR18585004
Alistipes_putredinis_61533,SRR18584997,SRR18585005
Alistipes_putredinis_61533,SRR18584997,SRR18585200
Alistipes_putredinis_61533,SRR18584997,SRR18585203
Alistipes_putredinis_61533,SRR18584997,SRR18585207
Alistipes_putredinis_61533,SRR18584997,SRR18585208
Alistipes_putredinis_61533,SRR18584997,SRR18585210
Alistipes_putredinis_61533,SRR18584998,SRR18584999
Alistipes_putredinis_61533,SRR18584998,SRR18585000
Alistipes_putredinis_61533,SRR18584998,SRR18585001
Alistipes_putredinis_61533,SRR18584998,SRR18585004
Alistipes_putredinis_61533,SRR18584998,SRR18585005
Alistipes_putredinis_61533,SRR18584998,SRR18585200
Alistipes_putredinis_61533,SRR18584998,SRR18585203
Alistipes_putredinis_61533,SRR18584998,SRR18585207
Alistipes_putredinis_61533,SRR18584998,SRR18585208
Alistipes_putredinis_61533,SRR18584998,SRR18585210
Alistipes_putredinis_61533,SRR18584999,SRR18585000
Alistipes_putredinis_61533,SRR18584999,SRR18585001
Alistipes_putredinis_61533,SRR18584999,SRR18585004
Alistipes_putredinis_61533,SRR18584999,SRR18585005
Alistipes_putredinis_61533,SRR18584999,SRR18585200
Alistipes_putredinis_61533,SRR18584999,SRR18585203
Alistipes_putredinis_61533,SRR18584999,SRR18585207
Alistipes_putredinis_61533,SRR18584999,SRR18585208
Alistipes_putredinis_61533,SRR18584999,SRR18585210
Alistipes_putredinis_61533,SRR18585000,SRR18585001
Alistipes_putredinis_61533,SRR18585000,SRR18585004
Alistipes_putredinis_61533,SRR18585000,SRR18585005
Alistipes_putredinis_61533,SRR18585000,SRR18585200
Alistipes_putredinis_61533,SRR18585000,SRR18585203
Alistipes_putredinis_61533,SRR18585000,SRR18585207
Alistipes_putredinis_61533,SRR18585000,SRR18585208
Alistipes_putredinis_61533,SRR18585000,SRR18585210
Alistipes_putredinis_61533,SRR18585001,SRR18585004
Alistipes_putredinis_61533,SRR18585001,SRR18585005
Alistipes_putredinis_61533,SRR18585001,SRR18585200
Alistipes_putredinis_61533,SRR18585001,SRR18585203
Alistipes_putredinis_61533,SRR18585001,SRR18585207
Alistipes_putredinis_61533,SRR18585001,SRR18585208
Alistipes_putredinis_61533,SRR18585001,SRR18585210
Alistipes_putredinis_61533,SRR18585004,SRR18585005
Alistipes_putredinis_61533,SRR18585004,SRR18585200
Alistipes_putredinis_61533,SRR18585004,SRR18585203
Alistipes_putredinis_61533,SRR18585004,SRR18585207
Alistipes_putredinis_61533,SRR18585004,SRR18585208
Alistipes_putredinis_61533,SRR18585004,SRR18585210
Alistipes_putredinis_61533,SRR18585005,SRR18585200
Alistipes_putredinis_61533,SRR18585005,SRR18585203
Alistipes_putredinis_61533,SRR18585005,SRR18585207
Alistipes_putredinis_61533,SRR18585005,SRR18585208
Alistipes_putredinis_61533,SRR18585005,SRR18585210
Alistipes_putredinis_61533,SRR18585014,SRR18585015
Alistipes_putredinis_61533,SRR18585014,SRR18585025
Alistipes_putredinis_61533,SRR18585015,SRR18585025
Alistipes_putredinis_61533,SRR18585027,SRR18585041
Alistipes_putredinis_61533,SRR18585027,SRR18585053
Alistipes_putredinis_61533,SRR18585027,SRR18585086
Alistipes_putredinis_61533,SRR18585027,SRR18585087
Alistipes_putredinis_61533,SRR18585027,SRR18585090
Alistipes_putredinis_61533,SRR18585027,SRR18585099
Alistipes_putredinis_61533,SRR18585027,SRR18585119
Alistipes_putredinis_61533,SRR18585027,SRR18585130
Alistipes_putredinis_61533,SRR18585027,SRR18585141
Alistipes_putredinis_61533,SRR18585027,SRR18585176
Alistipes_putredinis_61533,SRR18585027,SRR18585187
Alistipes_putredinis_61533,SRR18585027,SRR18585198
Alistipes_putredinis_61533,SRR18585027,SRR18585206
Alistipes_putredinis_61533,SRR18585027,SRR18585264
Alistipes_putredinis_61533,SRR18585033,SRR18585034
Alistipes_putredinis_61533,SRR18585033,SRR18585185
Alistipes_putredinis_61533,SRR18585033,SRR18585186
Alistipes_putredinis_61533,SRR18585033,SRR18585188
Alistipes_putredinis_61533,SRR18585033,SRR18585189
Alistipes_putredinis_61533,SRR18585033,SRR18585190
Alistipes_putredinis_61533,SRR18585033,SRR18585193
Alistipes_putredinis_61533,SRR18585033,SRR18585194
Alistipes_putredinis_61533,SRR18585033,SRR18585197
Alistipes_putredinis_61533,SRR18585034,SRR18585185
Alistipes_putredinis_61533,SRR18585034,SRR18585186
Alistipes_putredinis_61533,SRR18585034,SRR18585188
Alistipes_putredinis_61533,SRR18585034,SRR18585189
Alistipes_putredinis_61533,SRR18585034,SRR18585190
Alistipes_putredinis_61533,SRR18585034,SRR18585193
Alistipes_putredinis_61533,SRR18585034,SRR18585194
Alistipes_putredinis_61533,SRR18585034,SRR18585197
Alistipes_putredinis_61533,SRR18585041,SRR18585053
Alistipes_putredinis_61533,SRR18585041,SRR18585086
Alistipes_putredinis_61533,SRR18585041,SRR18585087
Alistipes_putredinis_61533,SRR18585041,SRR18585090
Alistipes_putredinis_61533,SRR18585041,SRR18585099
Alistipes_putredinis_61533,SRR18585041,SRR18585119
Alistipes_putredinis_61533,SRR18585041,SRR18585130
Alistipes_putredinis_61533,SRR18585041,SRR18585141
Alistipes_putredinis_61533,SRR18585041,SRR18585176
Alistipes_putredinis_61533,SRR18585041,SRR18585187
Alistipes_putredinis_61533,SRR18585041,SRR18585198
Alistipes_putredinis_61533,SRR18585041,SRR18585206
Alistipes_putredinis_61533,SRR18585041,SRR18585264
Alistipes_putredinis_61533,SRR18585053,SRR18585086
Alistipes_putredinis_61533,SRR18585053,SRR18585087
Alistipes_putredinis_61533,SRR18585053,SRR18585090
Alistipes_putredinis_61533,SRR18585053,SRR18585099
Alistipes_putredinis_61533,SRR18585053,SRR18585119
Alistipes_putredinis_61533,SRR18585053,SRR18585130
Alistipes_putredinis_61533,SRR18585053,SRR18585141
Alistipes_putredinis_61533,SRR18585053,SRR18585176
Alistipes_putredinis_61533,SRR18585053,SRR18585187
Alistipes_putredinis_61533,SRR18585053,SRR18585198
Alistipes_putredinis_61533,SRR18585053,SRR18585206
Alistipes_putredinis_61533,SRR18585053,SRR18585264
Alistipes_putredinis_61533,SRR18585070,SRR18585072
Alistipes_putredinis_61533,SRR18585086,SRR18585087
Alistipes_putredinis_61533,SRR18585086,SRR18585090
Alistipes_putredinis_61533,SRR18585086,SRR18585099
Alistipes_putredinis_61533,SRR18585086,SRR18585119
Alistipes_putredinis_61533,SRR18585086,SRR18585130
Alistipes_putredinis_61533,SRR18585086,SRR18585141
Alistipes_putredinis_61533,SRR18585086,SRR18585176
Alistipes_putredinis_61533,SRR18585086,SRR18585187
Alistipes_putredinis_61533,SRR18585086,SRR18585198
Alistipes_putredinis_61533,SRR18585086,SRR18585206
Alistipes_putredinis_61533,SRR18585086,SRR18585264
Alistipes_putredinis_61533,SRR18585087,SRR18585090
Alistipes_putredinis_61533,SRR18585087,SRR18585099
Alistipes_putredinis_61533,SRR18585087,SRR18585119
Alistipes_putredinis_61533,SRR18585087,SRR18585130
Alistipes_putredinis_61533,SRR18585087,SRR18585141
Alistipes_putredinis_61533,SRR18585087,SRR18585176
Alistipes_putredinis_61533,SRR18585087,SRR18585187
Alistipes_putredinis_61533,SRR18585087,SRR18585198
Alistipes_putredinis_61533,SRR18585087,SRR18585206
Alistipes_putredinis_61533,SRR18585087,SRR18585264
Alistipes_putredinis_61533,SRR18585090,SRR18585099
Alistipes_putredinis_61533,SRR18585090,SRR18585119
Alistipes_putredinis_61533,SRR18585090,SRR18585130
Alistipes_putredinis_61533,SRR18585090,SRR18585141
Alistipes_putredinis_61533,SRR18585090,SRR18585176
Alistipes_putredinis_61533,SRR18585090,SRR18585187
Alistipes_putredinis_61533,SRR18585090,SRR18585198
Alistipes_putredinis_61533,SRR18585090,SRR18585206
Alistipes_putredinis_61533,SRR18585090,SRR18585264
Alistipes_putredinis_61533,SRR18585099,SRR18585119
Alistipes_putredinis_61533,SRR18585099,SRR18585130
Alistipes_putredinis_61533,SRR18585099,SRR18585141
Alistipes_putredinis_61533,SRR18585099,SRR18585176
Alistipes_putredinis_61533,SRR18585099,SRR18585187
Alistipes_putredinis_61533,SRR18585099,SRR18585198
Alistipes_putredinis_61533,SRR18585099,SRR18585206
Alistipes_putredinis_61533,SRR18585099,SRR18585264
Alistipes_putredinis_61533,SRR18585116,SRR18585117
Alistipes_putredinis_61533,SRR18585116,SRR18585120
Alistipes_putredinis_61533,SRR18585116,SRR18585123
Alistipes_putredinis_61533,SRR18585117,SRR18585120
Alistipes_putredinis_61533,SRR18585117,SRR18585123
Alistipes_putredinis_61533,SRR18585119,SRR18585130
Alistipes_putredinis_61533,SRR18585119,SRR18585141
Alistipes_putredinis_61533,SRR18585119,SRR18585176
Alistipes_putredinis_61533,SRR18585119,SRR18585187
Alistipes_putredinis_61533,SRR18585119,SRR18585198
Alistipes_putredinis_61533,SRR18585119,SRR18585206
Alistipes_putredinis_61533,SRR18585119,SRR18585264
Alistipes_putredinis_61533,SRR18585120,SRR18585123
Alistipes_putredinis_61533,SRR18585130,SRR18585141
Alistipes_putredinis_61533,SRR18585130,SRR18585176
Alistipes_putredinis_61533,SRR18585130,SRR18585187
Alistipes_putredinis_61533,SRR18585130,SRR18585198
Alistipes_putredinis_61533,SRR18585130,SRR18585206
Alistipes_putredinis_61533,SRR18585130,SRR18585264
Alistipes_putredinis_61533,SRR18585141,SRR18585176
Alistipes_putredinis_61533,SRR18585141,SRR18585187
Alistipes_putredinis_61533,SRR18585141,SRR18585198
Alistipes_putredinis_61533,SRR18585141,SRR18585206
Alistipes_putredinis_61533,SRR18585141,SRR18585264
Alistipes_putredinis_61533,SRR18585176,SRR18585187
Alistipes_putredinis_61533,SRR18585176,SRR18585198
Alistipes_putredinis_61533,SRR18585176,SRR18585206
Alistipes_putredinis_61533,SRR18585176,SRR18585264
Alistipes_putredinis_61533,SRR18585177,SRR18585182
Alistipes_putredinis_61533,SRR18585177,SRR18585183
Alistipes_putredinis_61533,SRR18585177,SRR18585272
Alistipes_putredinis_61533,SRR18585177,SRR18585273
Alistipes_putredinis_61533,SRR18585182,SRR18585183
Alistipes_putredinis_61533,SRR18585182,SRR18585272
Alistipes_putredinis_61533,SRR18585182,SRR18585273
Alistipes_putredinis_61533,SRR18585183,SRR18585272
Alistipes_putredinis_61533,SRR18585183,SRR18585273
Alistipes_putredinis_61533,SRR18585185,SRR18585186
Alistipes_putredinis_61533,SRR18585185,SRR18585188
Alistipes_putredinis_61533,SRR18585185,SRR18585189
Alistipes_putredinis_61533,SRR18585185,SRR18585190
Alistipes_putredinis_61533,SRR18585185,SRR18585193
Alistipes_putredinis_61533,SRR18585185,SRR18585194
Alistipes_putredinis_61533,SRR18585185,SRR18585197
Alistipes_putredinis_61533,SRR18585186,SRR18585188
Alistipes_putredinis_61533,SRR18585186,SRR18585189
Alistipes_putredinis_61533,SRR18585186,SRR18585190
Alistipes_putredinis_61533,SRR18585186,SRR18585193
Alistipes_putredinis_61533,SRR18585186,SRR18585194
Alistipes_putredinis_61533,SRR18585186,SRR18585197
Alistipes_putredinis_61533,SRR18585187,SRR18585198
Alistipes_putredinis_61533,SRR18585187,SRR18585206
Alistipes_putredinis_61533,SRR18585187,SRR18585264
Alistipes_putredinis_61533,SRR18585188,SRR18585189
Alistipes_putredinis_61533,SRR18585188,SRR18585190
Alistipes_putredinis_61533,SRR18585188,SRR18585193
Alistipes_putredinis_61533,SRR18585188,SRR18585194
Alistipes_putredinis_61533,SRR18585188,SRR18585197
Alistipes_putredinis_61533,SRR18585189,SRR18585190
Alistipes_putredinis_61533,SRR18585189,SRR18585193
Alistipes_putredinis_61533,SRR18585189,SRR18585194
Alistipes_putredinis_61533,SRR18585189,SRR18585197
Alistipes_putredinis_61533,SRR18585190,SRR18585193
Alistipes_putredinis_61533,SRR18585190,SRR18585194
Alistipes_putredinis_61533,SRR18585190,SRR18585197
Alistipes_putredinis_61533,SRR18585193,SRR18585194
Alistipes_putredinis_61533,SRR18585193,SRR18585197
Alistipes_putredinis_61533,SRR18585194,SRR18585197
Alistipes_putredinis_61533,SRR18585198,SRR18585206
Alistipes_putredinis_61533,SRR18585198,SRR18585264
Alistipes_putredinis_61533,SRR18585200,SRR18585203
Alistipes_putredinis_61533,SRR18585200,SRR18585207
Alistipes_putredinis_61533,SRR18585200,SRR18585208
Alistipes_putredinis_61533,SRR18585200,SRR18585210
Alistipes_putredinis_61533,SRR18585203,SRR18585207
Alistipes_putredinis_61533,SRR18585203,SRR18585208
Alistipes_putredinis_61533,SRR18585203,SRR18585210
Alistipes_putredinis_61533,SRR18585206,SRR18585264
Alistipes_putredinis_61533,SRR18585207,SRR18585208
Alistipes_putredinis_61533,SRR18585207,SRR18585210
Alistipes_putredinis_61533,SRR18585208,SRR18585210
Alistipes_putredinis_61533,SRR18585272,SRR18585273
Alistipes_shahii_62199,SRR18584973,SRR18585027
Alistipes_shahii_62199,SRR18584973,SRR18585085
Alistipes_shahii_62199,SRR18584973,SRR18585088
Alistipes_shahii_62199,SRR18584973,SRR18585099
Alistipes_shahii_62199,SRR18584973,SRR18585119
Alistipes_shahii_62199,SRR18584973,SRR18585176
Alistipes_shahii_62199,SRR18584973,SRR18585187
Alistipes_shahii_62199,SRR18584976,SRR18585177
Alistipes_shahii_62199,SRR18585014,SRR18585023
Alistipes_shahii_62199,SRR18585027,SRR18585085
Alistipes_shahii_62199,SRR18585027,SRR18585088
Alistipes_shahii_62199,SRR18585027,SRR18585099
Alistipes_shahii_62199,SRR18585027,SRR18585119
Alistipes_shahii_62199,SRR18585027,SRR18585176
Alistipes_shahii_62199,SRR18585027,SRR18585187
Alistipes_shahii_62199,SRR18585085,SRR18585088
Alistipes_shahii_62199,SRR18585085,SRR18585099
Alistipes_shahii_62199,SRR18585085,SRR18585119
Alistipes_shahii_62199,SRR18585085,SRR18585176
Alistipes_shahii_62199,SRR18585085,SRR18585187
Alistipes_shahii_62199,SRR18585088,SRR18585099
Alistipes_shahii_62199,SRR18585088,SRR18585119
Alistipes_shahii_62199,SRR18585088,SRR18585176
Alistipes_shahii_62199,SRR18585088,SRR18585187
Alistipes_shahii_62199,SRR18585099,SRR18585119
Alistipes_shahii_62199,SRR18585099,SRR18585176
Alistipes_shahii_62199,SRR18585099,SRR18585187
Alistipes_shahii_62199,SRR18585119,SRR18585176
Alistipes_shahii_62199,SRR18585119,SRR18585187
Alistipes_shahii_62199,SRR18585176,SRR18585187
Anaerostipes_hadrus_55206,SRR18585057,SRR18585058
Anaerostipes_hadrus_55206,SRR18585057,SRR18585059
Anaerostipes_hadrus_55206,SRR18585057,SRR18585065
Anaerostipes_hadrus_55206,SRR18585057,SRR18585214
Anaerostipes_hadrus_55206,SRR18585057,SRR18585218
Anaerostipes_hadrus_55206,SRR18585058,SRR18585059
Anaerostipes_hadrus_55206,SRR18585058,SRR18585065
Anaerostipes_hadrus_55206,SRR18585058,SRR18585214
Anaerostipes_hadrus_55206,SRR18585058,SRR18585218
Anaerostipes_hadrus_55206,SRR18585059,SRR18585065
Anaerostipes_hadrus_55206,SRR18585059,SRR18585214
Anaerostipes_hadrus_55206,SRR18585059,SRR18585218
Anaerostipes_hadrus_55206,SRR18585065,SRR18585214
Anaerostipes_hadrus_55206,SRR18585065,SRR18585218
Anaerostipes_hadrus_55206,SRR18585070,SRR18585072
Anaerostipes_hadrus_55206,SRR18585214,SRR18585218
Bacteroides_caccae_53434,SRR18585014,SRR18585022
Bacteroides_finegoldii_57739,SRR18584973,SRR18584992
Bacteroides_finegoldii_57739,SRR18584973,SRR18585027
Bacteroides_finegoldii_57739,SRR18584973,SRR18585041
Bacteroides_finegoldii_57739,SRR18584973,SRR18585084
Bacteroides_finegoldii_57739,SRR18584973,SRR18585085
Bacteroides_finegoldii_57739,SRR18584973,SRR18585086
Bacteroides_finegoldii_57739,SRR18584973,SRR18585088
Bacteroides_finegoldii_57739,SRR18584973,SRR18585089
Bacteroides_finegoldii_57739,SRR18584973,SRR18585090
Bacteroides_finegoldii_57739,SRR18584973,SRR18585095
Bacteroides_finegoldii_57739,SRR18584973,SRR18585099
Bacteroides_finegoldii_57739,SRR18584973,SRR18585119
Bacteroides_finegoldii_57739,SRR18584973,SRR18585176
